username,password,position
testuser101,Testuser101,student
testuser102,Testuser102,student
testuser103,Testuser103,student
testuser104,Testuser104,student
testuser105,Testuser105,student
testuser106,Testuser106,student
testuser107,Testuser107,student
testuser108,Testuser108,student
testuser109,Testuser109,student
testuser110,Testuser110,student
testuser111,Testuser111,student
testuser112,Testuser112,student
testuser113,Testuser113,student
testuser114,Testuser114,student
testuser115,Testuser115,student
testuser116,Testuser116,student
testuser117,Testuser117,student
testuser118,Testuser118,student
testuser119,Testuser119,student
testuser120,Testuser120,student
testuser121,Testuser121,student
testuser122,Testuser122,student
testuser123,Testuser123,student
testuser124,Testuser124,student
testuser125,Testuser125,student
testuser126,Testuser126,student
testuser127,Testuser127,student
testuser128,Testuser128,student
testuser129,Testuser129,student
testuser130,Testuser130,student
testuser131,Testuser131,exam
testuser132,Testuser132,exam
testuser133,Testuser133,exam
testuser134,Testuser134,exam
testuser135,Testuser135,exam
testuser136,Testuser136,exam
testuser137,Testuser137,exam
testuser138,Testuser138,exam
testuser139,Testuser139,exam
testuser140,Testuser140,exam
testuser141,Testuser141,exam
testuser142,Testuser142,exam
testuser143,Testuser143,exam
testuser144,Testuser144,exam
testuser145,Testuser145,exam
testuser146,Testuser146,exam
testuser147,Testuser147,exam
testuser148,Testuser148,exam
testuser149,Testuser149,exam
testuser150,Testuser150,exam
testuser151,Testuser151,exam
testuser152,Testuser152,exam
testuser153,Testuser153,exam
testuser154,Testuser154,exam
testuser155,Testuser155,exam
testuser156,Testuser156,exam
testuser157,Testuser157,exam
testuser158,Testuser158,exam
testuser159,Testuser159,exam
testuser160,Testuser160,exam
testuser161,Testuser161,exam
testuser162,Testuser162,exam
testuser163,Testuser163,admin
testuser164,Testuser164,admin
testuser165,Testuser165,admin
testuser166,Testuser166,admin
testuser167,Testuser167,admin
testuser168,Testuser168,admin
testuser169,Testuser169,admin
testuser170,Testuser170,admin
testuser171,Testuser171,admin
testuser172,Testuser172,admin
testuser173,Testuser173,admin
testuser174,Testuser174,admin
testuser175,Testuser175,admin
testuser176,Testuser176,admin
testuser177,Testuser177,admin
testuser178,Testuser178,admin
testuser179,Testuser179,admin
testuser180,Testuser180,admin
testuser181,Testuser181,admin
testuser182,Testuser182,admin
testuser183,Testuser183,admin
testuser184,Testuser184,admin
testuser185,Testuser185,admin
testuser186,Testuser186,admin
testuser187,Testuser187,admin
testuser188,Testuser188,admin
testuser189,Testuser189,admin
testuser190,Testuser190,admin
testuser191,Testuser191,admin
testuser192,Testuser192,admin
testuser193,Testuser193,admin
testuser194,Testuser194,admin
testuser195,Testuser195,admin
testuser196,Testuser196,admin
testuser197,Testuser197,admin
testuser198,Testuser198,admin
testuser199,Testuser199,admin
testuser200,Testuser200,admin
